Stadt/Gemeinde,Fahrzeug,Fahrgestell,Aufbau
Abstatt,HLF 10,Mercedes,Rosenbauer CL
Abstatt,LF 10,MAN,WISS
Affalterbach,GW-T,Mercedes,Logiroll
Alfdorf,GW-T,MAN,Junghanns
Allmersbach i.T.,LF 10,Mercedes,Lentner
Altdorf,GW-T,MAN,Ziegler
Aura,TSF-W,MAN,Adik
Backnang,LF 20 KatS,Mercedes,Ziegler
Bad Friedrichshall,DLA(K) 23-12,Mercedes,Rosenbauer-Metz
Bad Friedrichshall,LF 10,Mercedes,Lentner
Bad Mergentheim,MTW,VW,Schäfer
Bad Mergenhteim,MLF,Iveco,Ziegler
Bad Mergentheim,AB-Rüst,,Sieglift
Bad Mergentheim,DLA(K) 23-12,Iveco,Magirus
Bad Mergentheim,LF 10,Iveco,Magirus EC-Line
Bad Mergentheim,MLF,Iveco,Ziegler
Bad Teinach-Zavelstein,HLF 10,MAN,Schlingmann
Bad Teinach-Zavelstein,GW-L2,MAN,Ziegler
Bad Wimpfen,DLA(K) 23-12,Mercedes,Rosenbauer-Metz
Bad Wimpfen,LF 20,Mercedes,Lentner
Bad Wimpfen,VRW,VW,Barth
Beilstein,HLF 20,MAN,Rosenbauer
Bietigheim-Bissingen,DLA(K) 23-12,Mercedes,Rosenbauer-Metz
Bietigheim-Bissingen,2 x LF 20,Mercedes,Schlingmann
Bietigheim-Bissingen,WLF 26,Mercedes,Walser-Palfinger
Bietigheim-Bissingen,WLF 32-K,Mercedes,Walser-Palfinger
Bietigheim-Bissingen,GW-T,Iveco,Barth
Bisingen,2x MTW,MAN,Rauber
Blumberg,HLF 20,MAN,Schlingmann
Blumberg,MLF,MAN,WISS
Bodelshausen,HLF 20,MAN,Schlingmann
Bönnigheim,HLF 20,MAN,Rosenbauer
Böttingen,HLF 10,MAN,Lentner
Brackenheim,GW-T,Mercedes,Barth
Bretzfeld,DLA(K) 23-12,Mercedes,Rosenbauer-Metz
Bretzfeld,GW-T,MAN,Junghanns
Bretzfeld,HLF 20,Mercedes,Rosenbauer
